@relation 'matchadata-v2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute league {LCK,TCL,NAAc,EULCS,NALCS,LMS,CBLoL,LPL}
@attribute side {Blue,Red}
@attribute team {'Kingzone DragonX','KSV Esports','Kongdoo Monster',MVP,YouthCREW,'HWA Gaming','Afreeca Freecs','KT Rolster','SK Telecom T1','ROX Tigers','BBQ Olivers','Fenerbahce Esports','Dark Passage','Jin Air Green Wings','OpTic Academy','Team Liquid Academy','FlyQuest Academy','TSM Academy','CLG Academy','100 Thieves Academy','Golden Guardians Academy','Cloud9 Academy','Echo Fox Academy','Clutch Gaming Academy','G2 Esports',Misfits,H2K,Vitality,'Unicorns of Love','Giants Gaming',Roccat,'Schalke 04',Fnatic,Splyce,'Team Liquid','Team SoloMid','100 Thieves','OpTic Gaming','Clutch Gaming','Golden Guardians','Echo Fox',FlyQuest,'Counter Logic Gaming',Cloud9,'J Team','MAD Team','Hong Kong Attitude','AHQ e-Sports Club','INTZ e-Sports Club','Vivo Keyd','CNB e-Sports Club','KaBuM e-Sports','paiN Gaming','Team One e-Sports','Red Canids','ProGaming Esports',SuperMassive,'Royal Bandits e-sports',Galakticos,'Team AURORA','Team WE','Bilibili Gaming','Vici Gaming','Snake Esports','EDward Gaming','Funplus Phoenix',OMG,'Invictus Gaming','Royal Never Give Up','JD Gaming','LGD Gaming','Rogue Warriors','Topsports Gaming','Suning Gaming','Machi 17','Flash Wolves','Team Afro',G-Rex}
@attribute gamelength numeric
@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute teamdragkills numeric
@attribute elders numeric
@attribute herald numeric
@attribute teamtowerkills numeric
@attribute teambaronkills numeric
@attribute dmgtochamps numeric
@attribute wards numeric
@attribute totalgold numeric
@attribute earnedgpm numeric
@attribute cspm numeric
@attribute result {lose,win}

@data
LCK,Blue,'Kingzone DragonX',35.533333,8,14,18,1,0,0,3,1,60170,182,64781,1172.324578,37.429644,lose
LCK,Red,'Kingzone DragonX',32.95,8,11,14,2,0,0,2,0,52239,167,61075,1199.745068,40.667678,lose
LCK,Red,MVP,29.5,0,10,0,0,0,0,0,1,28239,164,50088,1039.186441,37.288136,lose
TCL,Red,'HWA Gaming',31.366667,6,12,16,0,0,0,0,0,57234,156,48185,880.252922,34.814028,lose
LCK,Blue,MVP,43.983333,8,15,25,2,0,1,2,0,110456,289,79741,1169.652141,38.332702,lose
LCK,Red,'KT Rolster',46.383333,4,11,4,1,0,?,3,0,99919,268,81519,1115.797341,37.642831,lose
LCK,Red,'Afreeca Freecs',39.75,7,9,14,1,0,0,4,0,72900,216,71547,1153.257862,39.622642,lose
LCK,Red,'KT Rolster',37.5,4,13,7,2,0,?,5,0,66304,214,69333,1200.133333,39.28,lose
LCK,Red,'ROX Tigers',44.4,4,14,8,1,0,?,3,1,62541,186,74723,1039.914414,36.126126,lose
LCK,Red,'SK Telecom T1',31.7,6,13,13,0,0,0,0,0,39609,164,53527,1033.078864,36.435331,lose
LCK,Red,'ROX Tigers',28.1,2,21,5,0,0,0,0,0,53876,144,43633,891.736655,34.982206,lose
LCK,Red,'BBQ Olivers',33.533333,2,5,2,0,0,0,2,0,25243,181,58081,1078.944334,40.914513,lose
LCK,Red,'Kongdoo Monster',45.133333,2,10,5,0,0,0,1,0,58171,246,72587,965.747415,36.27031,lose
LCK,Blue,'Kongdoo Monster',39.783333,6,18,17,0,0,1,4,0,48980,206,66346,1021.045664,34.612484,lose
TCL,Blue,'Fenerbahce Esports',40.7,4,16,12,1,0,0,4,0,52128,218,62229,883.110565,32.383292,lose
LCK,Blue,'Jin Air Green Wings',50.15,12,14,28,2,1,0,8,1,108932,273,93825,1231.409771,36.331007,lose
